Company Name,rows,industry,website,title_sample,reason_top,pair_counts,invest_counts,initial_label,confidence,auto_reason,desc_sample,keywords_sample,headline_sample
US Dental Transitions,1,Management Consulting,http://www.usdentaltransitions.com,CEO,Management consulting with M&A signals,{'Maybe->Yes': 1},{'No': 1},Yes,high,explicit_target_term,"US Dental Transitions is dedicated to helping those who wish to buy or sell a dental practice. WE NEVER CHARGE BUYERS A FEE.

Our transition team has over 40 years of Dental Transition experience, which includes

• Practice appraisals
• Practice sales
• Standard/Retirement Sale
• Associate buy-in/buy-out programs
• Practice merger programs
• Refinancing
• Contract and mediation services
• Hourly c","dental practice broker, dental practice management consulting, dental practice sales & purchase advisors, dental transition advisors, business consulting & services, dental practice transition, practice valuation, buy dental practice, sell dental practice, dental business brokerage, associate placem",CEO At Us Dental Transitions (formerly Southeast Transitions)
Uniqum Capital,1,Financial Services,http://www.uniqumcapital.lt,Chief Executive Officer,Financial firm with investment signals (financial services),{'Maybe->Yes': 1},{'No': 1},Yes,high,deal_investment_terms,"Uniqum Capital - Lietuvos Banko licencijuota C kategorijos finansų maklerio įmonė.

Konsultuojame strateginio investavimo bei alternatyvaus kapitalo pritraukimo srityse. Kapitalo ieškome Baltijos šalių įmonėms, kurias pristatome instituciniams ir privatiems investuotojams Baltijos, Skandinavijos bei vakarų Europos šalyse.

Kontaktai:
+370 686 10202
info@uniqumcapital.lt","investment consulting, alternative financing, capital attraction, institutional investors, privately held companies, baltic market, portfolio management, investment projects, financial technology, investment opportunities, market trends, strategic investment, financial advisory services, business ev",CEO At Monsoon Capital
Upland Workshop,2,Public Relations & Communications,http://www.uplandworkshop.com,"Vice President, Corporate Strategy | Founder",Public Relations & Communications - not ICP,{'No->Yes': 2},{'No': 2},Yes,high,explicit_target_term,Upland Workshop supports visionary leaders and organizations by building ideas and strategies into actionable business outcomes. We create value and impact through transformational and intentional campaigns and initiatives.,"public relations & communications services, media advisory, communications consulting, b2b2c, enterprise value, strategic communications, m&a advisory, go-to-market strategy, ipo planning, crisis management, rebranding, fundraising strategy, organizational review, business challenges, business oppor","Upland Workshop | Ex-tiktok, Ibm"
Upwelling Capital Group,3,Financial Services,http://www.upwellingcapital.com,Founder And Managing Member | Vice President | Partner,Financial firm with investment signals (financial services),{'Maybe->Yes': 3},{'No': 3},Yes,high,deal_investment_terms,"Upwelling Capital Group is an advisory and investment management firm that provides customized strategies and solutions to enhance the overall returns for premier alternative investors.

With experience successfully managing over $50 billion in global private equity commitments as well as managing over $5 billion in legacy, tail-end commitments, transfers and workouts for leading institutional inv","private equity, legacy portfolio solutions, sustainable asset management, strategy consulting, venture capital, private debt, coinvestments, secondaries, custom solutions, liquidity solutions, private markets, secondary market, advisory services, transaction advisory, investment management, portfoli",Founder Of Upwelling Capital Group Llc
"VELA Investment Management, LLC",3,Investment Management,http://www.vela-im.com,"Co-founder, President And Chief Operating Officer | CEO | Co-founder, CFO, And Portfolio Manager At Vela Investment Management, Llc",Investment management - HNW/wealth,{'Maybe->No': 3},{'Yes': 3},No,high,wealth_management,"VELA Investment Management is a privately owned investment management firm located in New Albany, Ohio. Our team members bring decades of experience in managing portfolios through a valuation-centric investment philosophy.","active investment management, us equity, international equity, separate accounts, valuation-centric investing, long-term results, wealth management, financial wellbeing, capital appreciation, current income, personalized investment solutions, private asset management, wealth alignment, client-centri","Co-founder, President And Chief Operating Officer At Vela Investment Management, Llc"
Washington CORE,2,Research,http://www.wcore.com,President & CEO | Owner,Does not match ICP (research),{'No->Yes': 2},{'No': 2},Yes,high,explicit_target_term,"Washington CORE, L.L.C. is an independent consulting & research firm providing strategic analysis and advisory services for the private and public sectors in Japan, the Americas, Europe and the Asia Pacific region. 

Established in 1995 by Chiyo Kobayashi and Kiyoshi Nakasaka, Washington CORE's insights into business, policy and technology have accelerated our clients' growth and helped achieve th","research services, strategic research, consulting services, policy analysis, business advisory, technology research, market entry strategy, stakeholder engagement, cross-cultural communication, data analysis, biotechnology consulting, biomanufacturing capabilities, supply chain resilience, internati","CEO, Washington Core, L.l.c."
"Wellesley Asset Management, Inc.",1,Investment Management,http://www.wam.com,"Vice President, Private Wealth Advisor",Investment management - HNW/wealth,{'Maybe->No': 1},{'Yes': 1},No,high,wealth_management,"Wellesley Asset Management, Inc., is an SEC registered investment adviser specializing in the management of convertible bonds and alternative products.","convertible bonds, convertibles, alternatives, financial management, asset management, capital preservation, growth investments, mutual funds, private clients, financial professionals, investment strategy, firm brochure, institutional clients, form adv, form crs, disclosures, privacy notice, wealth ","Vice President, Private Wealth Advisor At Wellesley Asset Management "
Winston Partners,5,Investment Management,http://www.winstonpartners.com,Partner And Director Of Research | Managing Partner | Partner,Investment management - institutional allocator,{'Maybe->No': 5},{'Yes': 5},No,high,"accounting_service,wealth_management","Founded in 1993, Winston Partners is an investment firm based in Arlington, Virginia.  We specialize in allocating capital to long/short equity hedge fund managers globally.","long/short equity, investment strategies, equity fund management, hedge fund services, diversified investment, risk management, portfolio optimization, market analysis, equity markets, investment returns, fund performance, investment advisory, wealth management, institutional investors, asset alloca",Partner At Winston Partners
Winterberry Group,1,Management Consulting,http://www.winterberrygroup.com,Managing Partner,Management consulting with M&A signals,{'Maybe->Yes': 1},{'No': 1},Yes,high,explicit_target_term,"Winterberry Group is a strategic management consultancy specializing in the intersecting disciplines of advertising, marketing, data, technology and commerce. 

We bring decades of experience and deep industry, operational and M&A expertise that bridges strategic development and tactical execution—driving unprecedented speed-to-action. And through our highly collaborative approach, we enable knowl","strategic planning, diligence services for financial & strategic investors, buy side investment banking support, market research, digital transformation, growth strategy, strategic consulting, growth consulting, mergers & acquisitions, operational design, strategic design, market intelligence, adver","Growth Strategy Consultant, M&a Advisor, Investor And Board Member"
YES Consulting,1,"Leisure, Travel & Tourism",http://www.yes.consulting,Co-founder,"Does not match ICP (leisure, travel & tourism)",{'No->Yes': 1},{'No': 1},Yes,high,explicit_target_term,"Yes Consulting is building a collective of experts and advisors for all these specific industry requirements. Whether you are an independent host or a managing agency on a growth curve or a company developing technology or new concepts in the rental sector, there is always someone to help you within a well-developed network. This is our ultimate goal.

Our network has started with a collection of ","vacation rentals, consultancy, short term rentals, master leasing, self catering, seo, websites, otas, company sales, company acquisition, mentoring, advisors, company reviews, conference speaking, cottages, villas, luxury accommodation, revenue management, dynamic pricing, short-term rentals, renta","Str Tech, Growth And M&a Advisory Service."
ZBS Partners,3,Financial Services,http://www.zbspartners.com,Co-founder | Vice President,Financial firm with investment signals (financial services),{'Maybe->No': 3},{'Yes': 3},No,high,"accounting_service,recruiting_service",ZBS Partners is an investment firm that partners with leading industry operators to grow and scale existing businesses.,"long-term capital, scaling businesses, partnership model, trust-based relationships, investment experience, growth potential, economies of scale, hands-on involvement, business operators, investment management, m&a, business development, finance & accounting, hr & recruiting, technology infrastructu",Zbs Partners
Alan Biller and Associates,2,Investment Management,http://www.alanbiller.com,"Principal, Cco, Managing Senior Consultant | Chief Executive Officer",Investment management - institutional allocator,{'Maybe->No': 2},{'Yes': 2},Maybe,low,finance_but_weak_evidence,"Independence and objectivity underpin the fiduciary investment consulting services Alan Biller and Associates provides US institutional investors. An employee-owned firm focused exclusively on investment consulting since 1982,  we are today one of the largest discretionary consultants in the US. For each of our clients, our seasoned professionals bring fiduciary responsibility, strategic risk over","investment consulting, fiduciary advisory, asset allocation, risk management, ocio services, discretionary investment management, manager selection, performance reporting, client education, institutional investors, defined benefit plans, defined contribution plans, multi-employer plans, public pensi","Principal, Cco, Managing Senior Consultant"
Fairmont Consulting Group,1,Management Consulting,http://www.fairmontcg.com,Partner,Management consulting with M&A signals,{'Maybe->Yes': 1},{'No': 1},No,low,no_target_signal,"Fairmont Consulting Group is a Boston-based firm focused on due diligence and strategic advisory services for clients active in aerospace, defense, government services, and the IT/telecom sectors.  Fairmont's rigorous analysis and unique insights help drive higher return on investment for financial sponsors and higher shareholder value for corporate clients.","strategy, due diligence, aerospace, defense, management consulting, it, government services, mergers, acquisitions, business consulting & services, strategy consulting, mergers & acquisitions, aviation, space sector, market analysis, financial analysis, investment strategy, operational assessment, c",Partner
Paradise Capital,1,Financial Services,http://www.paradisecapital.biz,CEO,Financial firm with investment signals (financial services),{'Maybe->Yes': 1},{'No': 1},Maybe,low,finance_but_weak_evidence,,"business exit strategies, exit planning, business valuation, mergers & acquisitions, emotional readiness for selling, financial readiness for selling, business growth strategies, no regrets exit, transition planning, business sale preparation, comprehensive review & action plan, strategic buyer iden",CEO
"Acresis, LLC",2,Management Consulting,http://www.acresis.com,"Founding Partner | Advising Founders On Growth, Liquidity & Wealth Creation",Management consulting with M&A signals,{'Maybe->Yes': 2},{'No': 2},No,medium,service_provider_conflict,"Acresis is a full- service, transatlantic firm dedicated to helping Founders achieve their full potential.  Our name means ""the systematic accretion of wealth.""​  We are accomplished Founders providing advisory, capital services and transaction management support to drive growth, liquidity and wealth for Founders and business owners.","founder advisory, wealth management, capital services, m, a advisory, consulting, private equity, business consulting & services, business advisory, founder support, strategy development, liquidity events, wealth creation, business growth, capital strategies, m&a advisory, transaction management, fu",Founding Partner
Adventum,1,Management Consulting,http://www.goadventum.com,Founding Partner,Management consulting with M&A signals,{'Maybe->Yes': 1},{'No': 1},No,medium,service_provider_conflict,"We are a trusted partner for leaders of emerging companies. Comprised of highly-trained and experienced financial management professionals, our mission is to help elevate your strategy, navigate an ever-changing financial landscape, and prepare your business for the road ahead.

Armed with years of experience across diverse industries and financial disciplines, we partner with you to provide finan","business consulting & services, fractional cfo, interim cfo services, m&a advisory, capital raise, financial planning, accounting execution, financial analysis, outsourced cfo, cfo leadership, emerging companies, cost-effective solutions, business strategy, cashflow management, accrual accounting, g",Outsourced CFO And Accounting | Sports Enthusiast | Founding Partner At Adventum
Alpha Asset Management,1,Financial Services,http://www.alphasset.com,Owner,Financial firm with investment signals (financial services),{'Maybe->Yes': 1},{'No': 1},Maybe,medium,finance_with_service_signals,"알파를 창출하고, 세상에 지속 가능한 가치를 더하다.
ㅤ
알파자산운용은 각 분야 최고 수준의 전문 인력이 창의적이고 팀워크 지향적인 업무수행을 함으로써 전략적이고 합리적인 자산운용 서비스를 제공합니다.","multi-asset, infrastructure, real estate, private equity, investment returns, sustainable development, commercial properties, residential properties, impact investing, financial services, portfolio management, alpha generation, mezzanine financing, stocks, bonds, corporate finance, renewable energy,",Owner At Alpha Asset Management
Alpha Management,1,Investment Management,http://www.alphama.it,Owner,Family Office,{'Yes->No': 1},{'Yes': 1},Maybe,medium,finance_with_service_signals,"Alpha Management aiuta gli investitori privati ed istituzionali a generare cash flow dai Patrimoni mobiliari.
Il Gestore migliore? Quello che a parità di volatilità genera il cash flow più alto con rischi sistematici e non specifici.

L'essenza fondante di Alpha Management è il risk management, inteso nel senso più ampio e completo del termine. L'efficienza dei portafogli è il miglior antidoto per","asset allocation, risk management, risk management & asset allocation, portfolio optimization, high-net-worth individuals, investment funds, financial algorithms, wealth preservation, ai in finance, wealth management, financial institutions, private bankers, consulting services, family office, trust",Owner
Ariel Alternatives,2,Financial Services,http://www.arielalternatives.com,"Office Of The Chairman & CEO | Founder, Chairman And Chief Executive Officer",Financial firm with investment signals (financial services),{'Maybe->No': 2},{'Yes': 2},Maybe,medium,finance_with_service_signals,"Ariel Alternatives, LLC is a private asset management firm affiliated with Ariel Investments, LLC. Ariel Alternatives is an enterprise newly conceived for the times and built on a four decade-old foundation. The firm's first initiative, Project Black, is on a mission to scale sustainable, middle-market, minority-owned businesses and fuel Fortune 500 vendor diversity.
   
Co-Founders Leslie Brun an","private equity, asset management, sustainable businesses, minority-owned businesses, supplier diversity, economic equality, fortune 500, investment strategy, middle-market companies, supplier-of-choice, project black, business transformation, job creation, economic growth, diverse leadership, minori",Office Of The Chairman & CEO
Arrowroot Family Office,4,Investment Management,http://www.arrowrootfamilyoffice.com,Partner | Managing Partner|wealth Manager|financial Advisor|financial Planner | Managing Director; Partner,Family Office,{'Yes->No': 4},{'Yes': 4},Maybe,medium,finance_with_service_signals,"Arrowroot Family Office was designed with the goal of providing the family office approach to holistic wealth management, regardless of the
client's net worth.

With a deep belief in the transformative power of technology and partnerships, the principals and staff of Arrowroot Family Office leverage its cutting-edge technology suite and trusted partners to provide the highest level of service, tra","wealth management, financial planning, retirement planning, estate planning, tax planning, ira, 529 plan, corporate retirement plan, tax efficiency, m&a advisory, wealth strategy, family governance, philanthropic initiatives, multi-family office services, fiduciary services, financial custodian, fin",Partner
Ascent CFO Solutions,1,Accounting,http://www.ascentcfo.com,"Fractional CFO, Founder And CEO Of Ascent CFO Solutions",Accounting firm - service provider,{'No->Yes': 1},{'No': 1},No,medium,service_provider_conflict,"Ascent CFO Solutions is a Colorado-based professional services firm providing financial and accounting solutions to high-growth startups and established brands across the country. We are an experienced team of CFO's and finance & accounting professionals, dedicated to helping your business reach its full potential through sound financial guidance.

With decades of experience, Ascent CFO consultant","outsourced cfo services, fractional cfo, parttime cfo, accounting services, mergers & acquisitions, financial modeling, cash flow forecasting, funding, capital strategy, outourced finance, fundraising, m&a advisory, equity fundraising, debt fundraising, business intelligence, financial dashboards, r","Fractional CFO & Founder, CEO Of Ascent CFO Solutions"
"Assertive Industries, Inc.",1,Accounting,http://www.assertiveindustries.com,Senior Managing Partner,Accounting firm - service provider,{'No->Yes': 1},{'No': 1},No,medium,service_provider_conflict,"Assertive Industries (AI) specializes in solving fixed asset and inventory management problems for the world's leading companies and organizations. For a quarter century, AI has provide complete fixed asset and inventory management solutions for the Fortune 500 that include:

* Asset Inventory Management Policy and Procedure Review, Development & Imlementation
* Certified Physical Inventory Audit ","fixed asset management, warehouse inventory management, cost segregation, physical inventory services, asset reconciliation, bar code technology, best practices asset inventory management, policy & procedure reviews, corporate relocation, personal property tax savings, third party logistics 3pl, ass",Senior Managing Partner
Bacchus Advisory,1,Professional Training & Coaching,http://www.bacchus.net.au,Chief Executive Officer,Professional Training & Coaching - not ICP,{'No->Yes': 1},{'No': 1},No,medium,service_provider_conflict,"We are a boutique professional services firm focused on delivering customised accounting, tax and strategic business advice for our clients. We use our extensive chartered accounting and specialist tax experience to make life easier by providing clear and concise advice on complex tax matters and business management. We pride ourselves on bringing life to numbers.","professional services, accounting, tax, business advisory, government grants, tax services, strategic management, virtual cfo, cross border tax, international tax, business valuations, small business, sme tax specialists, corporate tax, self-managed super fund, ato compliance, capital gains tax, cry",Chief Executive Officer
"Baker Group Merger and Acquisition Consultants, Inc.",2,Financial Services,http://www.bakergroupmac.com,"Founder & CEO Of Baker Group M&a Consultants, Inc. | We Help Business Owners Maximize Their Value When Considering An Exit Or Recapitalization. No Risk, No Retainer, No Exclusives & No Upfront Fees. Call Me Today",Financial firm with investment signals (financial services),{'Maybe->Yes': 2},{'No': 2},Yes,medium,conflict_but_explicit_ma,"Since 1988, Jerry Baker has been involved in consulting with clients in a variety of industries and unique situations to sell their businesses. The company has a successful track record in working with its clients to structure a transaction that meets the needs of its clients to structure a transaction that meets the needs of its clients long-term personal and financial goals. With over 200 transa","mergers & acquisitions, business brokerage, exit strategies, business valuation, due diligence, transaction structuring, business consulting, market positioning, financial analysis, negotiation process, client development, equity conversion, client relations, business growth strategies, market asses","Founder & CEO Of Baker Group Merger And Acquisition Consultants, Inc. "
Barton CPA PLLC,1,Accounting,http://www.bartoncpafirm.com,Managing Partner,Accounting firm - service provider,{'No->Yes': 1},{'No': 1},No,medium,service_provider_conflict,"We are a Texas based, PCAOB registered, full-service public accounting firm, with local roots and a global reach. We are proud to serve our local Bridgeland Community and honored to service our hundreds of clients across the country and around the world. From publicly traded companies to start-ups in the bootstrapping phase, we provide a wide range of services to meet your specific needs. Whether ","audit, accounting, pcaob, us gaap, crowdfunding, reg cf, reg a, due diligence, tax, bookkeeping, reviews, assurance, consulting, tax services, financial statement preparation, reg a+, financial analysis, quality of earnings, business valuation, cpa services, financial reporting, internal controls, s",Managing Partner
"Barton, Walter & Krier, P.C. CPAs and Business Advisors",4,Accounting,http://www.bwkaccounting.com,Partner | Managing Partner,Accounting firm mentioning PE/FO,{'Maybe->Yes': 4},{'No': 4},No,medium,service_provider_conflict,"Barton Walter & Krier, P.C.
Certified Public Accountants & Business Consultants
6885 Sycamore Lane N, Suite 100
Maple Grove, MN  55369
(763) 367-7300

You'll find our entire staff ready to be friendly and attentive to your special concerns. You'll find us uncompromisingly professional and ethical. As a result, we have an enviable client retention rate of which we're quite proud - It's an indicatio","accounting services & advice for privately held companies, audit, assurance, tax services, business tax, personal tax, consulting, accounting, bookkeeping, transaction advisory, estate planning, gift tax, trust services, sales tax, use tax, compliance, financial reporting, financial analysis, m&a co",Partner
Basswood Counsel,3,Legal Services,http://www.basswoodcounsel.com,Partner | Co-founder,Law firm mentioning PE/FO/IS/SF,{'Maybe->Yes': 3},{'No': 3},No,medium,service_provider_conflict,"We are highly experienced and diverse attorneys trained both domestically and internationally providing our clients with sophisticated customized representation. We represent fortune 100 companies to start-ups, private equity funds, family offices, and individuals. Our clients receive attentive and customized legal representation responsive to their needs and oriented to their goals. Through our s","taxation, corporate compliance, estate planning, tax controversy, international tax planning & strategies for businesses, international tax planning & strategies for individuals, trust & estates, business tax, domestic tax, legal counsel, corporate law, business transactions, mergers & acquisitions,",Partner
"Blackstreet Capital Holdings, LLC",2,Investment Management,http://www.bchhold.com,Executive Vice President And Chief Restructuring Officer | Business Owner,Private Equity,{'Yes->No': 2},{'Yes': 2},Maybe,medium,finance_with_service_signals,"Blackstreet Capital Holdings, LLC is a privately held diversified operating company that owns and manages lower middle market businesses. Blackstreet Capital Holdings, LLC is not a private equity fund. Instead it is a permanent holding company that seeks opportunistic investments in debt and equity of lower middle market businesses or corporate orphans that are in out-of-favor industries or are un","investments, operations, acquisitions, diversified operating company, capital management, lower middle market, business acquisitions, opportunistic investments, debt & equity, underperforming businesses, financial distress solutions, multi-channel retail, consumer finance solutions, education invest",Executive Vice President And Chief Restructuring Officer
Brix + Partners LLC,1,Accounting,http://www.brixcpa.com,Partner,Accounting firm mentioning PE/FO,{'Maybe->Yes': 1},{'No': 1},No,medium,service_provider_conflict,"Brix + Partners LLC is a prominent tax, accounting, and consulting firm servicing  German speaking clients operating or investing in the U.S., and American firms operating abroad.  
Our team consists of German and American accountants, tax lawyers and tax consultants with many years of experience providing tax services to international clients in the United States. 

We specialize in providing tax","u.s. tax advisory, international tax planning, tax compliance, high net worth individuals, estate tax, gift tax, tax optimization, family offices, corporate tax advisory, private clients, medium-sized businesses, double taxation agreements, tax strategy, asset preservation, venture capital, private ","Partner, Steuerberater At Brix + Partners Llc"
"Burkehill Global Management, LP",2,Investment Management,http://www.burkehillglobal.com,"Partner, Managing Director | COO/CFO/partner",Investment management - institutional allocator,{'Maybe->No': 2},{'Yes': 2},Maybe,medium,finance_with_service_signals,Registered Investment Adviser,"financial services, portfolio management, wealth management, asset allocation, risk assessment, financial advisory, retirement planning, tax optimization, real estate investment, private equity, hedge funds, market analysis, client investment strategy, diversified investments, mutual funds, alternat","Partner, Managing Director"
Cannabis10X,1,Management Consulting,http://www.cannabis10x.com,Founder & CEO,Management consulting with M&A signals,{'Maybe->Yes': 1},{'No': 1},Yes,medium,conflict_but_explicit_ma,"Cannabis10X is the leader in Cannabis Franchising. Our exclusive Cannabis franchise brands are ranked in the top 5 in the world, monopolizing the franchising space. Our veteran team of franchising executives franchised 5 Guys, Sbarros and 2000 domestic concepts. Our in-house brokers are the only Cannabis-trained franchise brokers in the world. Cannabis10X also assists in Capital Raises, has a full","franchising, m, a, capital raises, business consulting & services, cannabis franchising, investment opportunities, cannabis business brokerage, franchise brands, buy a franchise, sell a cannabis business, cannabis investment portfolio, licensing auctions, cannabis pitch events, micro-investors, accr",CEO Cannabis 10x; Founder 10x Franchising; Forbes Feature Expert Consultant; Public Speaker; Philosophy Enthusiast
Clearline Capital LP,2,Financial Services,http://www.clearlinecap.com,Managing Director - Head Of Marketing And Investor Relations | Founder / Portfolio Management,Financial firm with investment signals (financial services),{'Maybe->Yes': 2},{'No': 2},Maybe,medium,finance_with_service_signals,"Clearline Capital LP is a fund manager based New York, NY.","capital management, investment strategies, financial advisory, wealth management, risk assessment, portfolio diversification, equity investment, fixed income, alternative investments, market analysis, client relations, investment research, financial planning, asset allocation, real estate investment",Managing Director - Head Of Marketing And Investor Relations At Clearline Capital
Coastal Investment Company,2,Real Estate,http://www.investwithcoastal.com,Managing Partner | Partner,Private Equity,{'Yes->No': 2},{'Yes': 2},No,medium,service_provider_conflict,"COASTAL is a distinguished private equity firm leveraging our expertise as hands-on investors ourselves. We are passionate about building wealth through strategic and well-informed institutional real estate investment opportunities. Our primary focus in today's market is based around the demand for middle-market rental housing across the Southeastern US, known as the Sunbelt. Multifamily developme","real estate, investments, private equity, venture capital, real estate investment, growth equity, tax consulting, mergers & acquisitions, multi-family properties, self-storage investments, build-for-rent, asset management, investment advisory, financial planning, market research, due diligence, fina",Managing Partner At Coastal
Collaboration Capital,1,Financial Services,http://www.collaborationcapital.org,Co-founder/partner,Financial firm with investment signals (financial services),{'Maybe->Yes': 1},{'No': 1},Maybe,medium,finance_with_service_signals,"We believe in open communities and technology to reinvent Financing and Mergers & Acquisitions.
We work worldwide on:
-	Financing projects, from 1 to 100M€, via all financial instruments (debt, capital, bonds…), with no exclusivity, no fixed fee. 
-	Sell-side and buy-side operations, for 1 to 200M€ valuations

Our expertise in AI and our community-led platform reflect our commitment to shaping the","finance, investissement, fusionacquisition, capitalrisque, cession dentreprise, mergers & acquisitions, corporate finance, business acquisition, business transfer, project financing, working capital, debt financing, equity financing, financial support, ai scouting, international network, financial t",Co-founder/partner At Collaboration Capital Management
Crew Finance,3,Accounting,http://www.crewfinance.com,Partner | Human Resources Business Partner | Managing Partner,Accounting firm - service provider,{'No->Yes': 3},{'No': 3},No,medium,service_provider_conflict,"Crew supports high-growth businesses with management accounting, CFO, FP&A and HR services.","financial management, startup finance, accounting services, financial reporting, financial planning, fundraising support, cfo services, investor relations, financial analysis, cash flow management, budgeting services, kpi development, revenue recognition, expense management, bank reconciliation, fin",
Curran Group,1,Investment Management,http://www.currangroup.com,President And CEO,Family Office,{'Yes->No': 1},{'Yes': 1},Maybe,medium,finance_with_service_signals,"Curran Group is a family owned and operated holding company. We're in the business of building businesses — giving great companies strategic support and the resources to succeed. We partner with our employees, customers, and suppliers as they are an integral part of our business and success. As in family, the foundation of these relationships is driven by respect and integrity.

For more than 100 ","our diverse portfolio of subsidiaries spans multiple sectors, including asphalt paving & excavation, railway services, paintfinishing systems our mergers & acquisitions strategy combines a disciplined approach to busin, holding companies, infrastructure development, asphalt paving, site excavation, ",President And CEO
Empire Asset Management Company,1,Investment Management,http://www.empiream.com,Chief Executive Officer,Investment management - institutional allocator,{'Maybe->No': 1},{'Yes': 1},Maybe,medium,finance_with_service_signals,"Empire Asset Management Company is a full-service broker/dealer located in the heart of New York's financial district. We provide a wide range of investment banking, financial advisory and management services to our high net worth individual, corporate and institutional client base.

People

Led by an executive team of Wall Street veterans, our team of financial professionals work closely to innov","brokerage, asset management, investment banking, syndicate, fixed income, options trading, institutional sales, trading, brokerage services, financial planning, capital markets, institutional research, sales & trading, customized investment solutions, equity investments, debt instruments, risk manag",CEO Of Empire Asset Management
"Evolved, LLC",1,Accounting,http://www.evolvedtax.com,Partner,Accounting firm mentioning PE/FO,{'Maybe->Yes': 1},{'No': 1},No,medium,service_provider_conflict,"With offices in New York City, Philadelphia and Stamford, Evolved is a fast-growing tax compliance and business advisory firm that serves startups, small businesses, private equity funds, hedge funds, high-net-worth-individuals and family offices. Our CPAs and tax professionals operate in a highly collaborative environment where team members are united by integrity, reliability, and a common passi","priate equity taxation, business taxation, family office taxation, hedge fund taxation, high net worth tax strategies, vc tax, tax compliance, business advisory, private equity, mergers & acquisitions, high net worth individuals, family offices, startups, small businesses, foreign businesses, estate",Partner
FLG Partners,23,Management Consulting,http://www.flgpartners.com,Partner | Partner | Flg Client Interim CFO | Administrative Partner And CFO,Management consulting with M&A signals,{'Maybe->Yes': 23},{'No': 23},No,medium,service_provider_conflict,"FLG Partners is the leading and most respected CFO consulting and board advisory firm in the United States. We provide management teams and boards at public and private companies, from emerging to enterprise, with high-quality, experienced CFO leaders to help them solve their toughest problems and make better, strategic business decisions. 

Founded in 2004, FLG Partners' financial and board advis","consulting cfo, interim cfo, fulltime cfo, board advisor, board member, silicon valley cfo, cfo consultants, clevel coaching, mentoring, permanent cfo, temporary cfo, business consulting & services, cfo consulting, fractional cfo, board advisory, financial leadership, m&a advisory, ipo readiness, ca",Strategic CFO
Florida CFO Group,20,Executive Office,http://www.floridacfogroup.com,Partner | Chief Financial Officer & Partner | Co-founder And President,Does not match ICP (executive office),{'No->Yes': 20},{'No': 20},No,medium,service_provider_conflict,,"strategic planning, execution, financial budgeting, projections, debt, equity negotiation, profitability analysis, cash flow management, turnaround situations, growth situations, mergers, divestitures, acquisitions, organizational restructuring, emerging growth, executive offices, fractional cfo, in",Chief Financial Officer / Chief Operating Officer
Franchise Equity Partners,8,Financial Services,http://www.fep-us.com,"Managing Director, Head Of Investments | Partner, Head Of Capital Markets | Executive Business Partner ",Financial firm with investment signals (financial services),{'Maybe->No': 8},{'Yes': 8},Maybe,medium,finance_with_service_signals,"Franchise Equity Partners (""FEP"") was founded based upon our belief that the franchising sector is a critical and highly-attractive component of the US economy with limited access to institutional sources of permanent capital. We are targeting a portfolio of $1billion of investments across the franchising sector.


Investment philosophy

We are minority stake investors who rely upon seasoned owner","franchise investment, capital solutions, minority equity, long-term partnerships, flexible capital, operating partners, franchise development, strategic partnerships, acquisition financing, business growth support, franchise sector expertise, owner operator control, m&a opportunities, financial repo","Managing Director, Head Of Investments"
"Galbut Beabeau, P.C.",2,Law Practice,http://www.gb.law,Chief Executive Officer | Director And President,Law firm mentioning PE/FO/IS/SF,{'Maybe->Yes': 2},{'No': 2},No,medium,service_provider_conflict,"Galbut Beabeau, P.C is an experienced business law firm located in Scottsdale, Arizona. We provide professional services and strategies to assist our clients efficiently and effectively navigate complex legal and business challenges.","business litigation, business transactions, real estate matters, mediation & arbitration, international law, banking, finance, securities, fraud litigation, business torts, global expansion, outside general counsel, intellectual property, estate planning, family office, residential construction frau",Chief Executive Officer
Grapp Lerash,1,Accounting,http://www.grapplerash.com,Founding Partner,Accounting firm mentioning PE/FO,{'Maybe->Yes': 1},{'No': 1},No,medium,service_provider_conflict,,"accounting, tax, assurance, cannabis, real estate, family office, small business, retail, manufacturing, notforprofit, audit, agreedupon procedures, tax services, assurance services, consulting, cannabis accounting, hospitality accounting, non-profit services, real estate consulting, retail services",🧱building A New Future For Accounting Professionals | Cpa | 🌿ask Me About Your Cra Afs (annual Financial Statement) | 📈 Results Driven Entrepreneur |
Greybull Stewardship,2,Investment Management,http://www.greybullstewardship.com,"Operating Partner, Recruiting And Human Resources, Greybull Stewardship | Operating Partner - Accounting & Reporting",Private Equity,{'Yes->No': 2},{'Yes': 2},Maybe,medium,finance_with_service_signals,"At Greybull Stewardship, we recognize that small businesses are the backbone of the U.S. economy. When they thrive, communities prosper, jobs grow, and industries evolve. That's why we invest in the high-potential, pre-middle market companies, ready to grow. We provide the capital and operational resources to scale sustainably. 

If you're a business owner looking for a partner who understands you","premiddle market investments, flexible capital, business growth strategy, operational resources, value creation, private equity, investment, small business, business growth, capital investment, small business funding, financial advisory, business services, textile recycling, sustainability, operatio","Operating Partner, Recruiting And Human Resources, Greybull Stewardship"
